Accession,EC number,FEDKEA_result,CLEAN_result,ECRECer_result,DeepEC_result
A0AAN4PAE6,4.3.1.24,4.3.1.24,4.3.1.24,4.3.1.24,4.3.1.24
A0AAT9JA24,1.1.1.122,1.1.1.62,1.1.1.62,1.1.1.239,1.1.1.62
A2QHC2,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A2QNG6,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A2QRA0,2.4.1.16,2.4.1.16,2.4.1.212,2.4.1.16,EC number not predicted
A2R0Z5,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A2R2G5,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A2VD68,2.7.4.6,2.7.4.6,2.7.4.6,2.7.13.3,2.7.4.6
A3DM02,2.7.1.225,2.7.1.226,2.7.1.226,2.7.7.7,EC number not predicted
A3MUS8,3.5.1.1,3.4.19.5,3.4.19.5;3.5.1.1,3.5.1.1,EC number not predicted
A4XXY9,1.14.13.238,1.14.99.65,2.5.1.122,6.5.1.1,EC number not predicted
A5U3S4,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.1,1.4.3.3
A6K136,3.1.3.16;3.1.3.52,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
A7B555,4.1.3.3,4.1.3.3,4.1.3.3;4.2.1.41,4.1.3.3,EC number not predicted
A7GKX7,4.1.1.128,1.1.1.342,5.1.3.7;5.1.3.2,5.1.3.2,4.1.1.35
A8CEI3,4.3.3.8,4.4.1.13,4.4.1.1,4.4.1.1,EC number not predicted
B0XAA1,3.2.1.20,3.2.1.20,3.2.1.20,3.2.1.20,3.2.1.20
B0XQY0,2.3.2.27,2.3.2.27,2.3.2.36;2.3.2.27,2.3.2.27,2.3.2.27
B0XWK7,2.5.1.80;3.4.11.17,2.5.1.109,2.5.1.80;3.4.11.17,2.5.1.34,EC number not predicted
B0Y6Z7,2.3.2.27,3.4.21.105,2.3.2.27,3.1.26.5,EC number not predicted
B2ADG1,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.14,1.14.99.54
B2ARG6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
B2ATL7,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
B2AVF1,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
B2B629,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
B7JA34,1.1.1.374,1.1.1.374,1.1.1.374,1.-.-.-,EC number not predicted
B7R4L8,2.3.1.193,2.3.1.193,2.3.1.193,3.1.-.-,EC number not predicted
B8Y445,1.16.99.1,2.7.1.232,3.5.2.15,3.4.11.-,EC number not predicted
B9LS20,2.4.2.1,2.4.2.1,2.4.2.44;2.4.2.1,2.4.2.1,2.4.2.1
B9SIM3,4.2.3.185;4.2.3.19;4.2.3.229,4.2.3.19,4.2.3.19,4.2.3.19,4.2.3.19
B9ZUK6,4.1.1.129,1.1.3.38,1.1.5.12;1.5.99.12,1.1.5.12,EC number not predicted
C0HMB1,1.4.3.1,1.4.3.3,1.4.3.3,1.5.3.1,EC number not predicted
C0HMB2,3.1.1.4,3.1.1.4,3.1.1.4,3.1.1.4,3.1.1.4
C0PBF8,1.4.3.1;1.4.3.3,1.4.3.3,1.4.3.19,6.3.4.15,1.4.3.3
C4R3D4,2.3.2.36,2.3.2.36,2.3.2.27,2.3.2.27,2.3.2.36
C4R4G9,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3
C4R6B0,1.4.3.1,1.4.3.3,1.4.3.3,1.4.3.3,EC number not predicted
C4R826,2.3.2.23,2.3.2.23,2.3.2.23,2.3.2.23,2.3.2.23
C6SZ50,4.1.1.36,4.1.1.36,4.1.1.36,4.1.1.36,4.1.1.36
C6TA59,4.1.1.36,4.1.1.36,4.1.1.36,4.1.1.36,4.1.1.36
C8V530,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
D9XF46,4.2.1.166,4.2.1.3,4.2.1.3;4.2.1.99,4.2.1.99,4.2.1.3
E9E1W3,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
E9EDR6,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
E9EE69,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
E9EFH8,2.4.1.16,2.4.1.16,2.4.1.212,2.4.1.16,2.4.1.16
E9Q3D4,1.1.1.122,1.1.1.62,1.1.1.62,1.1.1.-,1.1.1.62
F1MLX0,5.3.2.2,3.7.1.23,3.7.1.5,3.-.-.-,EC number not predicted
F8D9F4,3.1.3.109,3.1.3.3,3.1.3.3,3.1.3.-,EC number not predicted
G1X456,2.7.11.11,2.7.11.11,2.7.11.11,2.7.11.11,2.7.11.1
G2QA92,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.56
G2QCJ3,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
G2QNT0,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
G2QZK6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
G2RB73,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
G2WY98,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
G2X5A0,2.4.1.16,2.4.1.16,2.4.1.80,2.4.1.-,EC number not predicted
G2XEK6,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
G4MVT6,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
G4MZ21,1.14.11.53,1.14.11.51,1.14.11.51,1.14.11.33,3.1.21.4
G4N1B2,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
G4N553,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
G4YM00,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
G7LCC3,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3
H0QPM2,1.1.3.50,1.1.3.10,1.1.3.10,5.3.3.1,EC number not predicted
H6C2T9,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
H6C4I7,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,EC number not predicted
I1RE72,2.4.1.16,2.4.1.16,2.4.1.212;2.4.1.16,2.4.1.16,EC number not predicted
I1REU9,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
I1S097,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
J4W6X9,1.14.13.196,1.14.13.196,1.14.13.196,1.14.13.-,1.14.13.196
J9PY59,3.2.1.170,3.2.1.208,3.2.1.208,3.2.1.-,EC number not predicted
J9VGQ7,2.4.1.18,2.4.1.18,2.4.1.18,2.4.1.18,2.4.1.18
J9VH79,1.14.99.56,1.15.1.1,3.2.1.58;3.2.1.4,3.2.1.4,EC number not predicted
J9VIY8,2.3.1.31,2.3.1.31,2.3.1.31,2.3.1.31,2.3.1.31
J9VPE7,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3,EC number not predicted
J9VRT1,1.4.3.1,1.4.3.3,1.4.3.3,1.4.3.3,EC number not predicted
J9VS37,2.7.2.4,2.7.2.4,2.7.2.4,2.7.2.4,EC number not predicted
J9VVW8,1.1.1.38,1.1.1.39,1.1.1.39;1.1.1.40;1.1.1.38,1.1.1.39,1.1.1.40
K5BE02,2.4.1.393,2.4.1.345,2.4.1.46,2.4.1.132,EC number not predicted
K5BIS0,3.2.1.221,3.2.1.28,4.3.1.12;3.2.1.76;3.2.1.37,5.4.99.17,EC number not predicted
M4MEY9,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8
M4MGK7,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8
M4MLB5,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8
O24769,3.1.3.112,3.1.3.89,3.1.3.89,3.1.3.89,EC number not predicted
O24770,5.3.99.13,2.1.1.113,2.1.1.106,2.1.1.-,EC number not predicted
O41136,2.3.1.57,2.3.1.184,2.3.1.87,2.3.1.-,EC number not predicted
O51799,5.4.99.14,1.14.14.18,4.2.1.154,5.1.3.32,2.5.1.18
P0DO77,2.3.3.17,2.3.3.17,2.3.3.17,2.3.3.17,EC number not predicted
P0DO79,1.14.19.80,1.14.14.168,1.1.1.354,1.14.13.71,EC number not predicted
P0DO88,1.14.19.80,1.14.14.168,1.14.19.52,1.14.-.-,EC number not predicted
P0DX97,2.7.1.229,2.7.1.15,2.7.1.15,2.7.1.15,EC number not predicted
P0DXB0,4.2.1.11,4.2.1.11,4.2.1.11,4.2.1.11,4.2.1.11
P0DXB2,1.14.13.252,1.14.13.59,1.14.13.59,1.14.13.59,EC number not predicted
P0DXB8,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
P0DXC4,4.4.1.43,4.4.1.11,4.4.1.11,2.5.1.48,EC number not predicted
P0DXD6,6.3.2.63,6.3.2.55,6.3.2.39,2.7.11.5,EC number not predicted
P0DXE2,1.17.3.5,1.3.99.4,1.3.99.4,4.-.-.-,1.3.99.4
P0DXE4,1.1.3.50,1.1.3.10,1.1.3.10,5.3.3.1,EC number not predicted
P0DXE6,4.1.99.28,7.1.1.8,1.12.2.1;3.2.2.22;5.1.3.37,2.4.2.4,EC number not predicted
P77907,1.17.1.10,1.3.1.2,1.18.1.2,1.7.1.4,1.1.5.3
Q06K77,3.6.1.5,3.6.1.5,3.6.1.5,2.7.7.4,3.6.1.5
Q0CPG9,4.2.1.9,4.2.1.9,4.2.1.9,4.2.1.9,4.2.1.9
Q0HWI9,6.3.2.63,6.3.2.55,6.3.2.39,2.7.11.5,EC number not predicted
Q1K4Q1,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
Q1NEI8,4.2.1.90,4.2.1.90,4.2.1.90,4.2.1.90,EC number not predicted
Q2U0G5,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
Q2U834,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
Q2U919,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
Q39QF5,1.3.8.10,1.3.99.32,1.3.8.10,1.3.8.1,EC number not predicted
Q39QF7,2.3.1.315,2.8.3.8,2.8.3.8,2.8.3.-,EC number not predicted
Q39VG1,2.3.1.310,2.3.1.176,2.3.1.176,2.3.1.16,EC number not predicted
Q39VG2,2.3.1.310,1.16.1.7,1.2.7.7,2.3.2.-,EC number not predicted
Q47593,2.4.1.371,2.4.1.21,2.7.1.92;4.2.3.38,5.1.-.-,EC number not predicted
Q4J834,3.1.21.10,3.1.21.10,3.1.21.10,3.1.22.4,EC number not predicted
Q4J8L0,3.1.21.10,3.1.21.10,3.1.21.10,3.1.22.4,3.1.21.10
Q4WSZ0,1.1.1.102,1.1.1.102,1.1.1.102,1.1.1.102,EC number not predicted
Q4X066,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
Q4ZD58,3.5.1.28,3.5.1.28,3.5.1.28,3.5.1.28,EC number not predicted
Q54XE5,4.3.1.18,4.3.1.18,4.3.1.27,4.3.1.18,EC number not predicted
Q5AQA6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
Q5AZ52,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
Q5B027,1.14.99.55,1.14.99.55,3.2.1.58,3.2.1.4,3.4.22.1
Q5B467,2.1.1.85,2.4.1.131,2.5.1.16,2.1.1.-,EC number not predicted
Q5B6H0,3.2.1.4,3.2.1.4,3.2.1.4,1.15.1.1,EC number not predicted
Q5B8T4,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
Q5BAP2,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.14,EC number not predicted
Q5BEI9,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
Q5K9E2,2.7.7.19,2.7.7.19,2.7.7.19,2.7.7.-,2.7.7.19
Q5MIX2,3.5.4.4,3.5.4.4,3.5.4.4,3.5.4.4,EC number not predicted
Q5U922,1.1.1.345,1.1.1.28,1.1.1.28,1.1.1.28,EC number not predicted
Q5XTQ4,3.1.1.1,3.1.1.3,3.1.1.42,3.1.1.3,EC number not predicted
Q66KP0,2.7.4.6,2.7.4.6,2.7.4.6,2.7.13.3,2.7.4.6
Q70FC9,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4
Q71RT3,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10
Q72K04,3.2.1.170,3.2.1.208,3.2.1.170,3.2.1.-,EC number not predicted
Q79EF1,1.14.19.36,1.14.19.13,1.14.19.6,1.14.19.6,1.14.19.25
Q7RWN7,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
Q7SHD9,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
Q83XP3,2.1.1.394,2.1.1.332,2.1.1.106,2.4.1.-,EC number not predicted
Q8IBI5,2.8.1.7,2.8.1.7,2.8.1.7,2.8.1.7,2.8.1.7
Q8IPZ3,1.6.5.2,1.3.1.105,1.6.5.5,1.-.-.-,1.6.5.5
Q8NQU4,7.4.2.1,7.4.2.12,7.4.2.1,3.6.3.21,EC number not predicted
Q8RI81,5.1.1.24,5.1.1.24,5.1.1.24,5.1.1.7,EC number not predicted
Q8U3G4,2.3.1.193,2.3.1.193,2.3.1.193,3.1.-.-,EC number not predicted
Q92NF6,2.3.1.317,2.3.1.247,2.3.1.247,2.5.1.55,EC number not predicted
Q92ZP9,1.14.13.247,1.14.13.251,1.14.13.239,1.14.13.-,EC number not predicted
Q93TM1,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10
Q971U1,5.6.2.4,5.6.2.4,3.6.4.13;3.6.1.15,3.6.4.12,3.6.4.12
Q97U12,2.3.1.193,2.3.1.193,2.3.1.193,3.1.-.-,5.6.2.4
Q980C5,2.3.1.193,2.3.1.193,2.3.1.193,3.1.-.-,EC number not predicted
Q99QC1,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q9GTP7,3.6.1.5,3.6.1.6,3.6.1.5,2.7.7.4,3.6.1.5
Q9HYK7,1.18.1.2,1.18.1.2,1.19.1.1,1.18.1.2,1.18.1.2
Q9KJF4,2.3.1.310,1.11.1.24,2.3.1.263;4.2.1.2,2.3.2.-,EC number not predicted
Q9KZP3,2.7.8.41,2.7.8.41,2.7.8.41,2.7.8.5,2.7.8.41
Q9L393,4.2.1.70,4.2.1.70,4.2.1.70,4.2.1.70,EC number not predicted
Q9LJH2,1.14.11.51,1.14.11.53,1.14.11.33,1.14.11.-,EC number not predicted
Q9LKZ2,2.7.11.24,2.7.11.24,2.7.11.24,2.7.11.24,2.7.11.24
Q9VQ29,7.1.1.8,7.1.1.8,7.1.1.8,1.10.2.2,7.1.1.8
Q9X7P6,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3
Q9XDP2,2.8.2.22,2.8.2.22,2.8.2.22,4.3.2.5,EC number not predicted
Q9XZ48,3.2.1.35,3.2.1.35,3.2.1.35,3.2.1.35,EC number not predicted
Q9ZIT6,2.4.1.58,2.4.1.58,2.4.1.58,2.4.1.-,EC number not predicted
S7Q0E7,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
S7QP81,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
S7RK00,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
V4HM83,1.14.19.55,1.14.13.8,1.14.13.8;1.14.14.73;1.14.13.148,1.14.13.8,EC number not predicted
V5TDY7,2.5.1.159,2.5.1.111,1.3.7.5,2.1.1.148,EC number not predicted
V9TNS0,3.2.1.37;3.2.1.55,3.2.1.37,3.2.1.37,3.2.1.37,3.2.1.37
V9TS54,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8
W4KMP1,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A067DDU9,5.4.99.41,5.4.99.41,5.4.99.41,5.4.99.8,5.4.99.39
A0A067ECN5,5.4.99.56,5.4.99.41,5.4.99.35,5.4.99.8,5.4.99.39
A0A067FI21,5.4.99.39,5.4.99.39,5.4.99.39,5.4.99.8,EC number not predicted
A0A089LCJ8,3.2.1.31,3.2.1.31,3.2.1.31,3.2.1.31,3.2.1.31
A0A089LI24,2.4.1.389,2.4.1.280,2.4.1.280,3.2.1.45,EC number not predicted
A0A0A8X338,1.97.1.14,7.1.1.9,7.1.1.3,1.3.1.94,1.97.1.9
A0A0A8X5N4,1.97.1.14,1.97.1.2,1.97.1.9,1.6.5.11,1.97.1.9
A0A0C1E1D0,2.6.1.5,2.6.1.1,2.6.1.3;2.6.1.1,2.6.1.1,2.6.1.1
A0A0F6B281,3.1.1.29,3.1.1.29,3.1.1.29,3.1.1.29,3.1.1.29
A0A0H3GN27,4.2.1.11,4.2.1.11,4.2.1.11,4.2.1.11,4.2.1.11
A0A0J9XBC9,1.14.99.56,3.2.1.4,3.2.1.4;3.2.1.22,3.2.1.4,EC number not predicted
A0A1C9ZMC3,1.14.99.56,3.2.1.4,3.2.1.8;3.2.1.4,1.15.1.1,EC number not predicted
A0A1D8PMB8,2.7.2.4,2.7.2.4,2.7.2.4,2.7.2.4,2.7.2.4
A0A1E3M8P2,1.16.1.10,1.16.1.7,1.16.1.9,1.16.1.9,2.7.7.7
A0A1G9UQQ0,4.2.3.223,4.2.3.158,4.2.3.98,4.2.3.37,2.5.1.18
A0A1G9VRW7,4.2.3.222;4.2.3.224,4.2.3.158,4.2.3.166,4.2.3.22,EC number not predicted
A0A1H1XG33,3.2.1.216,3.2.1.28,2.4.1.279,3.2.1.107,EC number not predicted
A0A1H1YBL2,4.4.1.11;4.4.1.2,4.4.1.13,4.4.1.11;4.4.1.2,2.5.1.48,EC number not predicted
A0A1V0QSF8,4.2.3.15,4.2.3.16,4.2.3.105,4.2.3.110,4.2.3.15
A0A1V0QSG1,4.2.3.228,4.2.3.26,4.2.3.15,4.2.3.110,EC number not predicted
A0A1V0QSH1,4.2.3.106;4.2.3.228,4.2.3.121,4.2.3.106;4.2.3.105,4.2.3.110,4.2.3.106
A0A218MJF1,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
A0A223GB52,2.7.8.7,2.7.8.7,2.7.8.7,2.7.8.-,EC number not predicted
A0A223HDH4,1.1.1.17,1.1.1.17,1.1.1.17,1.1.1.17,1.1.1.17
A0A223HDI5,1.1.1.138,1.1.1.138,1.1.1.138,1.1.1.138,EC number not predicted
A0A261GVB1,1.14.18.1,1.14.18.1,1.14.18.1,1.14.18.1,EC number not predicted
A0A2B4RNI3,2.7.7.86,2.7.7.52,2.7.7.86,3.6.4.-,EC number not predicted
A0A2H3EDS0,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A2I2F2J6,5.5.1.6,1.13.11.49,1.13.11.69;1.13.11.70,5.1.3.32,EC number not predicted
A0A2K3D1C8,2.7.8.41,2.7.8.5,2.7.8.41,2.7.8.41,2.7.8.5
A0A2K8FTN3,2.8.1.7,2.8.1.7,2.8.1.7,2.8.1.7,EC number not predicted
A0A2T1AE85,2.3.1.312,6.3.3.3,3.4.24.50,6.5.-.-,EC number not predicted
A0A384E138,2.3.1.9,2.3.1.16,2.3.1.176;2.3.1.16;2.3.1.155,2.3.1.16,2.3.1.16
A0A384E143,2.3.3.10,2.3.3.10,3.5.2.18,3.8.1.-,2.3.3.10
A0A384J8V9,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,EC number not predicted
A0A384JDH0,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A384JJE6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A384JLD1,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A384JTK5,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A384JXL6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A384JZ02,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.14,EC number not predicted
A0A384K4U6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A385XI11,1.1.1.12,1.1.1.12,1.1.1.12,1.1.1.14,1.1.1.9
A0A3M6TIF0,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
A0A478ECY3,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A4D6G3C8,1.1.3.6;5.3.3.1,1.1.3.20,1.1.3.6,1.2.1.8,EC number not predicted
A0A4P8PKE4,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A4Y5L9K3,4.2.3.71,4.2.3.57,4.2.3.60;4.2.3.179,4.2.3.24,4.2.3.23
A0A4Y5QVX6,4.2.3.174,4.2.3.194,4.2.3.104;4.2.3.57,4.2.3.13,EC number not predicted
A0A4Y5QWK5,4.2.3.15,4.2.3.16,4.2.3.105,4.2.3.110,4.2.3.15
A0A5B8NBE6,5.4.99.56,5.4.99.41,5.4.99.50,5.4.99.7,5.4.99.39
A0A5B8NBN0,5.4.99.56,5.4.99.41,5.4.99.50;5.4.99.35,5.4.99.7,5.4.99.39
A0A5B9GBF0,2.7.11.24,2.7.11.24,2.7.11.24,2.7.11.24,2.7.11.24
A0A5J6BJN5,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A5J6BJP2,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,EC number not predicted
A0A5J6BJQ5,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
A0A5J6BJT0,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A5J6BJT1,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
A0A5N6UNY1,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A5N6UUF2,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A5N6UWA3,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.53
A0A5N6V3W5,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A6I8RMG7,5.3.4.1,5.3.4.1,5.3.4.1,3.4.-.-,EC number not predicted
A0A7H0XJI9,3.2.1.55,3.2.1.55,3.2.1.55,3.2.1.55,3.2.1.55
A0A7J6EK66,2.2.1.7,2.2.1.7,2.2.1.7,2.2.1.7,2.2.1.7
A0A7J6G7L9,1.1.1.267,1.1.1.267,1.1.1.267,1.1.1.267,1.1.1.267
A0A7J6H013,1.1.1.34,1.1.1.34,1.1.1.34,1.1.1.34,1.1.1.34
A0A7J6HK32,4.2.3.104;4.2.3.57,4.2.3.104,4.2.3.92,4.2.3.24,EC number not predicted
A0A803NI27,1.1.1.34,1.1.1.34,1.1.1.34,1.1.1.34,1.1.1.34
A0A803PDZ0,2.2.1.7,2.2.1.7,2.2.1.7,2.2.1.7,2.2.1.7
A0A8B6XWW9,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
A0A977JPB5,3.2.1.55,3.2.1.55,3.2.1.55,3.2.1.55,3.2.1.55
A0A9P4XUZ4,1.14.11.53,1.14.11.33,1.14.11.51,1.14.11.33,EC number not predicted
A0A9P5CQV5,2.1.1.348,2.1.1.72,2.1.1.72,2.1.1.-,EC number not predicted
A0A9P5CTI1,3.1.3.2,3.1.3.2,3.1.3.2,3.1.3.2,EC number not predicted
A2QU15,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A5VL09,3.6.1.67,3.6.1.66,3.6.1.66,3.6.1.66,EC number not predicted
A7GKX6,1.1.1.136,1.1.1.136,1.1.1.336;1.1.1.136,1.1.1.336,EC number not predicted
A9ES55,1.18.1.2,1.18.1.2,1.19.1.1,1.18.1.2,EC number not predicted
A9FRJ0,1.18.1.2,1.14.15.30,1.18.1.2,1.18.1.2,1.18.1.2
B0Y8W1,3.4.21.105,3.4.21.105,3.4.21.105,3.4.21.-,EC number not predicted
B0Y8Y4,2.7.11.1,2.7.11.1,2.7.12.1,2.7.11.1,EC number not predicted
B1G5Y9,2.3.1.319,2.5.1.57,2.3.1.247,5.1.3.-,EC number not predicted
B2AUV0,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,2.4.2.1
B2B403,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,EC number not predicted
B2B5J7,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
B2RVI8,2.8.2.14;2.8.2.2,2.8.2.2,2.8.2.14;2.8.2.2,2.8.2.14,2.8.2.2
B5I920,2.7.9.6,6.4.1.2,2.7.3.13,2.7.9.2,EC number not predicted
B5T072,2.4.1.343,2.4.1.306,2.4.1.306,1.1.1.-,2.4.1.87
B6QEB3,1.15.1.1,1.15.1.1,1.15.1.1,1.15.1.1,1.15.1.1
B7JA35,2.6.1.122,2.6.1.106,2.6.1.98,2.8.1.7,EC number not predicted
B8D503,2.7.1.225,2.7.1.226,2.7.1.226,3.2.2.-,EC number not predicted
B9CM12,2.7.7.107,2.7.7.15,2.7.7.103,2.7.7.77,EC number not predicted
B9T625,4.2.3.19,4.2.3.19,4.2.3.19,4.2.3.19,4.2.3.19
C0HMB4,3.1.1.11,3.1.1.11,3.1.1.11,3.1.1.11,3.1.1.11
C5BK10,6.2.1.47,6.2.1.51,6.2.1.59;6.2.1.70,6.2.1.-,6.2.1.47
C5BK13,1.14.19.78,1.14.19.1,1.14.19.75,1.14.19.-,EC number not predicted
C6EUD4,2.8.3.18;2.8.3.27,2.8.3.8,3.1.2.1,2.3.1.-,EC number not predicted
C7M8J5,2.5.1.76,2.5.1.47,2.5.1.47,2.5.1.47,2.5.1.47
C8CP46,3.1.1.122,3.1.1.81,3.1.1.88,5.1.1.3,EC number not predicted
C8V4I9,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
D2RW80,5.3.1.29,5.3.1.29,5.3.1.29,5.3.1.29,EC number not predicted
D2VS83,5.6.1.1,5.6.1.1,5.6.1.1,3.6.4.3,5.6.1.1
D5FKJ2,2.6.1.126,4.4.1.13,2.6.1.88,2.6.1.-,EC number not predicted
D5RFM4,5.1.1.24,5.1.1.24,5.1.1.24,5.1.1.7,EC number not predicted
D5SK09,4.2.3.201;4.2.3.202;4.2.3.203,4.2.3.187,4.2.3.187,4.2.3.37,EC number not predicted
D8Q364,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
E2JKI3,3.1.21.4,3.1.21.4,3.1.21.4,3.1.21.4,EC number not predicted
E5Y8P9,1.2.1.81,1.2.1.76,1.2.1.76,1.2.1.41,EC number not predicted
E8R9N2,2.7.1.225,2.7.1.226,2.7.1.226,3.2.2.-,EC number not predicted
F0NEL5,3.1.21.10,3.1.21.10,3.1.21.10;3.1.21.4,3.1.22.4,3.1.21.10
